ABCC8,5.359593298072063
ADCY1,5.967947493587886
ADIRF,5.86129377850615
ANKS1A,4.097135721862217
ANXA3,6.486719667757574
AP2M1,3.7475271435408044
APBA1,5.3486927787727465
APOH,4.311086238863292
AQP1,2.695836948461049
AQP2,5.476269943061774
ASGR2,5.068205367369469
ATP1B3,3.049367396525624
BDH1,11.260465254490562
BLM,5.763303160072822
BMP6,4.9371339781132315
BRD8,2.3261021043531662
CACNA1D,4.836131005246557
CALB1,2.2588242991245537
CAV1,2.1715436621583724
CBX3,3.8071969093407207
CD163,2.393719316700892
CDC34,4.839458236818748
CDH6,4.6557317354818535
CFD,2.8881263279222598
CLCN3,5.107348351756125
CSE1L,3.4336235468189877
CSNK1A1,4.661393599436071
CTNND2,5.46367204754614
DDO,4.954981587658659
DGKG,5.193258611576158
DTYMK,2.0859212561925164
EHMT2,4.963202209720714
EIF1,3.5565293279185375
EPHB2,10.064522651497267
ERBB3,5.4087449186475
ERCC1,3.2310700598500284
ERG,11.020464994051853
ETV6,4.440146940817745
FARSA,4.54550599847619
FGF3,2.133958255422922
FGL1,5.410924586635978
FLAD1,2.2963528575500547
GALK1,4.182345615018246
GAS6,7.236780238110618
GATAD1,4.743889069364446
GIT2,5.344450049349387
GLB1 /// TMPPE,2.2113037875856407
GNAT1,3.82172502760111
GPX3,9.457107872622178
GRAP,5.29951040278502
GSTP1,9.892356197781412
GUSBP3 /// SMA4 /// SMA5,2.649369396841156
HLA-DPB1,3.0702912828253694
HMGXB3,4.783616956355894
HNRNPH1,2.3759596085993153
HPCA,5.251343076936434
HSD17B2,17.78075785500448
HSPA4,2.2803482823457437
ICAM2,2.2834357127864475
IDH3G,5.057203260563321
IGHMBP2,5.2540992435822185
IL16,5.896251010347676
ISG15,5.244399735437148
ITGA2B,6.022466765055116
JOSD1,5.887757367919409
KCNB1,5.474192880723075
KCTD2,4.985675388567814
KIFC1,20.551208474118866
KRT16,2.631224028015876
KRT5,3.028242016889706
KRT7,4.804429295992968
LARS2,5.2143275049056195
LINC00667,6.640174581655627
MADD,6.342547823504962
MCM2,6.69607059239869
MDM4,4.906551559617251
MMP13,7.858152268591418
MMP9,5.224365982897393
MPHOSPH9,2.165595367423604
MRPS12,4.165716897509275
NCAM1,2.075114776330656
NCBP1,4.459258720487646
NFIC,4.340829408121595
NOLC1,10.484631922262889
NOP14-AS1,5.265302981418141
NOS2,4.652847348176198
OPRM1,4.444808742796016
ORC3,4.321890236515853
P2RY10,4.877941583431056
PABPC1,5.093789100759363
PAFAH2,5.922755751679069
PDCD11,13.121240826563369
PGM5,3.5576175028431307
PIGK,2.002742081200019
PMPCA,5.234094588309531
POLR2H,3.445404396467861
PPIF,15.470767694510078
PRG2,3.0850181093563918
PSG11,5.7694493421414
PSMD8,4.210114054689921
PTMS,5.449338319460677
PXDN,3.8394641349667964
R3HDM1,5.436471511100435
RAD51,4.953314011108136
RASA2,8.242102953235758
REG1P,5.03521359043853
RGN,4.824130496624803
RIN1,5.448051858512555
RND2,5.2029476385405715
RRS1,5.34846676609967
SEC61B,2.5996105682563178
SLC6A6,6.948654976027521
SNRNP35,4.399009346742915
SNRPC,9.908673427830275
SNTB2,5.136612225020356
SORD,5.424053334555588
STXBP2,4.431021255832095
TAB1,4.849626591124825
TERT,6.1154448779473105
TGFBR2,3.0465183921956904
THY1,5.012296137248092
TPTEP1,4.304245089346702
TSTA3,4.744165830574939
UBE2G1,4.42067223430257
UPK1A,6.080035792257463
VEGFC,2.781826023583128
VPS45,3.890790040157384
VWF,7.086735804022935
ZNF142,11.7888935539309
